dataset,strategy,seed,metric,value
mnist,sisa,48,forget_confidence_mean_unlearned,0.2199
mnist,sisa,48,forget_entropy_mean_unlearned,2.2384
mnist,sisa,48,mia_accuracy_unlearned,0.5055
mnist,sisa,48,mia_improvement,-0.0082
mnist,sisa,48,js_divergence_mean,0.4061
mnist,sisa,48,retrain_fraction,0.2875
mnist,sisa,49,utility_accuracy_test,0.9860
mnist,sisa,49,unlearning_score,0.0130
mnist,sisa,49,forget_confidence_mean_unlearned,0.2195
mnist,sisa,49,forget_entropy_mean_unlearned,2.2387
mnist,sisa,49,mia_accuracy_unlearned,0.4994
mnist,sisa,49,mia_improvement,0.0001
mnist,sisa,49,js_divergence_mean,0.4065
mnist,sisa,49,retrain_fraction,0.2875
mnist,sisa,50,utility_accuracy_test,0.9864
mnist,sisa,50,unlearning_score,0.0123
mnist,sisa,50,forget_confidence_mean_unlearned,0.2198
mnist,sisa,50,forget_entropy_mean_unlearned,2.2384
mnist,sisa,50,mia_accuracy_unlearned,0.5038
mnist,sisa,50,mia_improvement,-0.0031
mnist,sisa,50,js_divergence_mean,0.4062
mnist,sisa,50,retrain_fraction,0.2875
mnist,sisa,51,utility_accuracy_test,0.9861
mnist,sisa,51,unlearning_score,0.0127
mnist,sisa,51,forget_confidence_mean_unlearned,0.2196
mnist,sisa,51,forget_entropy_mean_unlearned,2.2386
mnist,sisa,51,mia_accuracy_unlearned,0.5050
mnist,sisa,51,mia_improvement,-0.0081
mnist,sisa,51,js_divergence_mean,0.4064
mnist,sisa,51,retrain_fraction,0.2875
mnist,distillation,42,utility_accuracy_test,0.9881
mnist,distillation,42,unlearning_score,0.0091
mnist,distillation,42,forget_confidence_mean_unlearned,0.9958
mnist,distillation,42,forget_entropy_mean_unlearned,0.0107
mnist,distillation,42,mia_accuracy_unlearned,0.4977
mnist,distillation,42,mia_improvement,0.0003
mnist,distillation,42,js_divergence_mean,0.0056
mnist,distillation,42,activation_cosine_similarity,0.7158
mnist,distillation,42,retrain_fraction,0.7375
mnist,distillation,43,utility_accuracy_test,0.9885
mnist,distillation,43,unlearning_score,0.0094
mnist,distillation,43,forget_confidence_mean_unlearned,0.9960
mnist,distillation,43,forget_entropy_mean_unlearned,0.0102
mnist,distillation,43,mia_accuracy_unlearned,0.5017
mnist,distillation,43,mia_improvement,-0.0044
mnist,distillation,43,js_divergence_mean,0.0061
mnist,distillation,43,activation_cosine_similarity,0.7281
mnist,distillation,43,retrain_fraction,0.7375
mnist,distillation,44,utility_accuracy_test,0.9872
mnist,distillation,44,unlearning_score,0.0111
mnist,distillation,44,forget_confidence_mean_unlearned,0.9955
mnist,distillation,44,forget_entropy_mean_unlearned,0.0116
mnist,distillation,44,mia_accuracy_unlearned,0.4995
mnist,distillation,44,mia_improvement,0.0002
mnist,distillation,44,js_divergence_mean,0.0069
mnist,distillation,44,activation_cosine_similarity,0.7149
mnist,distillation,44,retrain_fraction,0.7375
mnist,distillation,45,utility_accuracy_test,0.9878
mnist,distillation,45,unlearning_score,0.0109
mnist,distillation,45,forget_confidence_mean_unlearned,0.9955
mnist,distillation,45,forget_entropy_mean_unlearned,0.0114
mnist,distillation,45,mia_accuracy_unlearned,0.5006
mnist,distillation,45,mia_improvement,-0.0008
mnist,distillation,45,js_divergence_mean,0.0067
mnist,distillation,45,activation_cosine_similarity,0.7123
mnist,distillation,45,retrain_fraction,0.7375
mnist,distillation,46,utility_accuracy_test,0.9879
mnist,distillation,46,unlearning_score,0.0098
mnist,distillation,46,forget_confidence_mean_unlearned,0.9958
mnist,distillation,46,forget_entropy_mean_unlearned,0.0107
mnist,distillation,46,mia_accuracy_unlearned,0.4996
mnist,distillation,46,mia_improvement,0.0018
mnist,distillation,46,js_divergence_mean,0.0061
mnist,distillation,46,activation_cosine_similarity,0.7224
mnist,distillation,46,retrain_fraction,0.7375
mnist,distillation,47,utility_accuracy_test,0.9881
mnist,distillation,47,unlearning_score,0.0096
mnist,distillation,47,forget_confidence_mean_unlearned,0.9955
mnist,distillation,47,forget_entropy_mean_unlearned,0.0112
mnist,distillation,47,mia_accuracy_unlearned,0.4999
mnist,distillation,47,mia_improvement,-0.0002
mnist,distillation,47,js_divergence_mean,0.0061
mnist,distillation,47,activation_cosine_similarity,0.7243
mnist,distillation,47,retrain_fraction,0.7375
mnist,distillation,48,utility_accuracy_test,0.9882
mnist,distillation,48,unlearning_score,0.0102
mnist,distillation,48,forget_confidence_mean_unlearned,0.9956
mnist,distillation,48,forget_entropy_mean_unlearned,0.0112
mnist,distillation,48,mia_accuracy_unlearned,0.5009
mnist,distillation,48,mia_improvement,-0.0043
mnist,distillation,48,js_divergence_mean,0.0065
mnist,distillation,48,activation_cosine_similarity,0.7090
mnist,distillation,48,retrain_fraction,0.7375
mnist,distillation,49,utility_accuracy_test,0.9886
mnist,distillation,49,unlearning_score,0.0097
mnist,distillation,49,forget_confidence_mean_unlearned,0.9957
mnist,distillation,49,forget_entropy_mean_unlearned,0.0107
mnist,distillation,49,mia_accuracy_unlearned,0.4994
mnist,distillation,49,mia_improvement,-0.0013
mnist,distillation,49,js_divergence_mean,0.0060
mnist,distillation,49,activation_cosine_similarity,0.7185
mnist,distillation,49,retrain_fraction,0.7375
mnist,distillation,50,utility_accuracy_test,0.9873
mnist,distillation,50,unlearning_score,0.0110
mnist,distillation,50,forget_confidence_mean_unlearned,0.9955
mnist,distillation,50,forget_entropy_mean_unlearned,0.0114
mnist,distillation,50,mia_accuracy_unlearned,0.5020
mnist,distillation,50,mia_improvement,-0.0036
mnist,distillation,50,js_divergence_mean,0.0068
mnist,distillation,50,activation_cosine_similarity,0.7096
mnist,distillation,50,retrain_fraction,0.7375
mnist,distillation,51,utility_accuracy_test,0.9882
mnist,distillation,51,unlearning_score,0.0101
mnist,distillation,51,forget_confidence_mean_unlearned,0.9956
mnist,distillation,51,forget_entropy_mean_unlearned,0.0112
mnist,distillation,51,mia_accuracy_unlearned,0.5005
mnist,distillation,51,mia_improvement,-0.0013
mnist,distillation,51,js_divergence_mean,0.0064
mnist,distillation,51,activation_cosine_similarity,0.7256
mnist,distillation,51,retrain_fraction,0.7375
mnist,mf,42,utility_accuracy_test,0.3729
mnist,mf,42,unlearning_score,0.6229
mnist,mf,42,forget_confidence_mean_unlearned,0.4476
mnist,mf,42,forget_entropy_mean_unlearned,1.5616
mnist,mf,42,mia_accuracy_unlearned,0.4986
mnist,mf,42,mia_improvement,-0.0008
mnist,mf,42,js_divergence_mean,0.3910
mnist,mf,42,activation_cosine_similarity,0.2538
mnist,mf,42,retrain_fraction,0.0400
mnist,mf,43,utility_accuracy_test,0.5193
mnist,mf,43,unlearning_score,0.4843
mnist,mf,43,forget_confidence_mean_unlearned,0.5837
mnist,mf,43,forget_entropy_mean_unlearned,1.1854
mnist,mf,43,mia_accuracy_unlearned,0.5006
