dataset,strategy,seed,metric,value
mnist,distillation,43,js_divergence_mean,0.0067
mnist,distillation,43,activation_cosine_similarity,0.7228
mnist,distillation,43,retrain_fraction,0.7299
mnist,distillation,44,utility_accuracy_test,0.9857
mnist,distillation,44,unlearning_score,0.0105
mnist,distillation,44,forget_confidence_mean_unlearned,0.9942
mnist,distillation,44,forget_entropy_mean_unlearned,0.0150
mnist,distillation,44,mia_accuracy_unlearned,0.5170
mnist,distillation,44,mia_improvement,0.0000
mnist,distillation,44,js_divergence_mean,0.0068
mnist,distillation,44,activation_cosine_similarity,0.7234
mnist,distillation,44,retrain_fraction,0.7299
mnist,distillation,45,utility_accuracy_test,0.9853
mnist,distillation,45,unlearning_score,0.0105
mnist,distillation,45,forget_confidence_mean_unlearned,0.9939
mnist,distillation,45,forget_entropy_mean_unlearned,0.0155
mnist,distillation,45,mia_accuracy_unlearned,0.5195
mnist,distillation,45,mia_improvement,-0.0068
mnist,distillation,45,js_divergence_mean,0.0071
mnist,distillation,45,activation_cosine_similarity,0.7199
mnist,distillation,45,retrain_fraction,0.7299
mnist,distillation,46,utility_accuracy_test,0.9852
mnist,distillation,46,unlearning_score,0.0111
mnist,distillation,46,forget_confidence_mean_unlearned,0.9941
mnist,distillation,46,forget_entropy_mean_unlearned,0.0151
mnist,distillation,46,mia_accuracy_unlearned,0.5226
mnist,distillation,46,mia_improvement,-0.0037
mnist,distillation,46,js_divergence_mean,0.0074
mnist,distillation,46,activation_cosine_similarity,0.7252
mnist,distillation,46,retrain_fraction,0.7299
mnist,distillation,47,utility_accuracy_test,0.9846
mnist,distillation,47,unlearning_score,0.0111
mnist,distillation,47,forget_confidence_mean_unlearned,0.9942
mnist,distillation,47,forget_entropy_mean_unlearned,0.0149
mnist,distillation,47,mia_accuracy_unlearned,0.5257
mnist,distillation,47,mia_improvement,-0.0070
mnist,distillation,47,js_divergence_mean,0.0075
mnist,distillation,47,activation_cosine_similarity,0.7235
mnist,distillation,47,retrain_fraction,0.7299
mnist,distillation,48,utility_accuracy_test,0.9851
mnist,distillation,48,unlearning_score,0.0118
mnist,distillation,48,forget_confidence_mean_unlearned,0.9940
mnist,distillation,48,forget_entropy_mean_unlearned,0.0155
mnist,distillation,48,mia_accuracy_unlearned,0.5213
mnist,distillation,48,mia_improvement,-0.0014
mnist,distillation,48,js_divergence_mean,0.0075
mnist,distillation,48,activation_cosine_similarity,0.7145
mnist,distillation,48,retrain_fraction,0.7299
mnist,distillation,49,utility_accuracy_test,0.9844
mnist,distillation,49,unlearning_score,0.0126
mnist,distillation,49,forget_confidence_mean_unlearned,0.9933
mnist,distillation,49,forget_entropy_mean_unlearned,0.0172
mnist,distillation,49,mia_accuracy_unlearned,0.5296
mnist,distillation,49,mia_improvement,-0.0109
mnist,distillation,49,js_divergence_mean,0.0081
mnist,distillation,49,activation_cosine_similarity,0.7157
mnist,distillation,49,retrain_fraction,0.7299
mnist,distillation,50,utility_accuracy_test,0.9850
mnist,distillation,50,unlearning_score,0.0111
mnist,distillation,50,forget_confidence_mean_unlearned,0.9938
mnist,distillation,50,forget_entropy_mean_unlearned,0.0159
mnist,distillation,50,mia_accuracy_unlearned,0.5195
mnist,distillation,50,mia_improvement,-0.0039
mnist,distillation,50,js_divergence_mean,0.0074
mnist,distillation,50,activation_cosine_similarity,0.7284
mnist,distillation,50,retrain_fraction,0.7299
mnist,distillation,51,utility_accuracy_test,0.9853
mnist,distillation,51,unlearning_score,0.0105
mnist,distillation,51,forget_confidence_mean_unlearned,0.9943
mnist,distillation,51,forget_entropy_mean_unlearned,0.0148
mnist,distillation,51,mia_accuracy_unlearned,0.5167
mnist,distillation,51,mia_improvement,-0.0014
mnist,distillation,51,js_divergence_mean,0.0069
mnist,distillation,51,activation_cosine_similarity,0.7218
mnist,distillation,51,retrain_fraction,0.7299
mnist,mf,42,utility_accuracy_test,0.4674
mnist,mf,42,unlearning_score,0.5279
mnist,mf,42,forget_confidence_mean_unlearned,0.5542
mnist,mf,42,forget_entropy_mean_unlearned,1.2746
mnist,mf,42,mia_accuracy_unlearned,0.5206
mnist,mf,42,mia_improvement,-0.0040
mnist,mf,42,js_divergence_mean,0.3331
mnist,mf,42,activation_cosine_similarity,0.3830
mnist,mf,42,retrain_fraction,0.0440
mnist,mf,43,utility_accuracy_test,0.4517
mnist,mf,43,unlearning_score,0.5282
mnist,mf,43,forget_confidence_mean_unlearned,0.5915
mnist,mf,43,forget_entropy_mean_unlearned,1.1749
mnist,mf,43,mia_accuracy_unlearned,0.5318
mnist,mf,43,mia_improvement,-0.0106
mnist,mf,43,js_divergence_mean,0.3167
mnist,mf,43,activation_cosine_similarity,0.4508
mnist,mf,43,retrain_fraction,0.0440
mnist,mf,44,utility_accuracy_test,0.5021
mnist,mf,44,unlearning_score,0.5229
